장소,분류,별점,주소,상호 번호
이태리상회 석촌호수점,이탈리안,4.2,"
서울 송파구 오금로16길 10-8 1층 101호
(지번) 송파동 57-16
",02-420-8616
안나앤토르테,"제과,베이커리",1.0,"
서울 송파구 백제고분로45길 22 3층
(지번) 송파동 53-9
",
사케쇼프 2호점,일식집,0.0,"
서울 송파구 백제고분로45길 24-18 1층 101호
(지번) 송파동 54
",
어니테이블,양식,4.5,"
서울 송파구 오금로 126 레이크해모로 1층
(지번) 송파동 58-4
",
어피셔나도,카페,4.3,"
서울 송파구 오금로18길 6 1층 102호
(지번) 송파동 51-2
",
우리밥상,수제비,0.0,"
서울 송파구 백제고분로41길 24-1
(지번) 송파동 26-7
",02-416-9988
순대국집,순대,0.0,"
서울 송파구 백제고분로41길 21-24
(지번) 송파동 12-5
",
문화촌고깃집,"육류,고기",0.0,"
서울 송파구 백제고분로41길 26 1층 101호
(지번) 송파동 26
",
어소반,한식,5.0,"
서울 송파구 백제고분로41길 41
(지번) 송파동 8-3
",
필터,술집,0.0,"
서울 송파구 오금로18길 9 지하층 101호
(지번) 송파동 50-11
",070-4009-2660
장어왕국,장어,0.0,"
서울 송파구 송파대로 468
(지번) 송파동 15
",02-417-5535
킹찌개찌개,"찌개,전골",4.0,"
서울 송파구 백제고분로45길 27 1층
(지번) 송파동 38
",
백워리,디저트카페,5.0,"
서울 송파구 백제고분로45길 4-14 1층
(지번) 송파동 48-6
",
플랫어스,"호프,요리주점",4.0,"
서울 송파구 백제고분로45길 32
(지번) 송파동 56-7
",
비정제,카페,5.0,"
서울 송파구 오금로18길 9 지하1층
(지번) 송파동 50-11
",070-8699-5357
이태리상회 석촌호수점,이탈리안,4.2,"
서울 송파구 오금로16길 10-8 1층 101호
(지번) 송파동 57-16
",02-420-8616
안나앤토르테,"제과,베이커리",1.0,"
서울 송파구 백제고분로45길 22 3층
(지번) 송파동 53-9
",
사케쇼프 2호점,일식집,0.0,"
서울 송파구 백제고분로45길 24-18 1층 101호
(지번) 송파동 54
",
어니테이블,양식,4.5,"
서울 송파구 오금로 126 레이크해모로 1층
(지번) 송파동 58-4
",
어피셔나도,카페,4.3,"
서울 송파구 오금로18길 6 1층 102호
(지번) 송파동 51-2
",
우리밥상,수제비,0.0,"
서울 송파구 백제고분로41길 24-1
(지번) 송파동 26-7
",02-416-9988
순대국집,순대,0.0,"
서울 송파구 백제고분로41길 21-24
(지번) 송파동 12-5
",
문화촌고깃집,"육류,고기",0.0,"
서울 송파구 백제고분로41길 26 1층 101호
(지번) 송파동 26
",
어소반,한식,5.0,"
서울 송파구 백제고분로41길 41
(지번) 송파동 8-3
",
필터,술집,0.0,"
서울 송파구 오금로18길 9 지하층 101호
(지번) 송파동 50-11
",070-4009-2660
완도맛집,"해물,생선",3.5,"
서울 송파구 오금로18길 6
(지번) 송파동 51-2
",02-416-8701
전라도집,한식,2.5,"
서울 송파구 오금로18길 3
(지번) 송파동 48-15
",02-417-2724
VGG,카페,5.0,"
서울 송파구 석촌호수로 290 3층 303호
(지번) 송파동 58-18
",010-7567-5432
한돈,"육류,고기",0.0,"
서울 송파구 백제고분로45길 6
(지번) 송파동 49-5
",02-423-8032
왕십리벌통곱창 송파점,"곱창,막창",0.0,"
서울 송파구 백제고분로41길 27
(지번) 송파동 11-2
",02-418-1997
빨간감바스,양식,3.4,"
서울 송파구 백제고분로41길 26 1층 102호
(지번) 송파동 26
",
미진메밀,한식,0.0,"
서울 송파구 백제고분로41길 36
(지번) 송파동 28
",
버터마켓,디저트카페,5.0,"
서울 송파구 오금로16길 12 1층 카페
(지번) 송파동 56-6
",02-6465-3331
널드커피,카페,5.0,"
서울 송파구 백제고분로45길 30 2층
(지번) 송파동 56-2
",
한꼬막 두꼬막 포차,한식,0.0,"
서울 송파구 백제고분로45길 30
(지번) 송파동 56-2
",02-2202-2046
호수혼참치,참치회,0.0,"
서울 송파구 백제고분로45길 40 1층
(지번) 송파동 58-15
",02-2203-8550
미미램양꼬치 잠실점,중식,0.0,"
서울 송파구 백제고분로41길 45
(지번) 송파동 7-12
",02-418-8608
태백산맥,한정식,0.0,"
서울 송파구 백제고분로41길 45
(지번) 송파동 7-12
",
바빌론,카페,0.0,"
서울 송파구 백제고분로45길 38-12
(지번) 송파동 57-1
",02-412-8798
롱브르378,카페,4.2,"
서울 송파구 오금로16길 4-15
(지번) 송파동 57-9
",
더휴,한정식,0.0,"
서울 송파구 백제고분로41길 27
(지번) 송파동 11-2
",02-3432-8874
카페베이트,카페,0.0,"
서울 송파구 백제고분로45길 22-17
(지번) 송파동 54-1
",
송리단왕돌구이,"육류,고기",0.0,"
서울 송파구 백제고분로41길 41 1층
(지번) 송파동 8-3
",
스시사루,일식집,0.0,"
서울 송파구 백제고분로41길 27
(지번) 송파동 11-2
",02-414-6037
육회만난연어,"호프,요리주점",0.0,"
서울 송파구 백제고분로41길 26 1층 101호
(지번) 송파동 26
",
올레곱창,"곱창,막창",0.0,"
서울 송파구 백제고분로45길 36 1층
(지번) 송파동 57-6
",
유미카츠 잠실점,일식,5.0,"
서울 송파구 송파대로48길 19
(지번) 송파동 30-7
",02-421-3330
크레올레,아이스크림,5.0,"
서울 송파구 백제고분로45길 40 트윈레이크팰리스빌 A동 1층 101호
(지번) 송파동 58-15
",
와이씨에프엔비,커피전문점,0.0,"
서울 송파구 백제고분로41길 30
(지번) 송파동 27-12
",
왕노가리와호프,"호프,요리주점",0.0,"
서울 송파구 백제고분로45길 22-1
(지번) 송파동 54-13
",02-2203-2294
오이라,와인바,4.5,"
서울 송파구 오금로16길 10-8 1층 101호
(지번) 송파동 57-16
",
레이크N펍,"호프,요리주점",0.0,"
서울 송파구 백제고분로45길 38
(지번) 송파동 57
",
카페성상,카페,3.6,"
서울 송파구 송파대로48길 5 1층
(지번) 송파동 8-5
",010-6418-3989
구븜고기,"육류,고기",5.0,"
서울 송파구 백제고분로45길 4-21 1층 102호
(지번) 송파동 49-3
",010-6493-4455
savor,칵테일바,0.0,"
서울 송파구 백제고분로41길 41
(지번) 송파동 8-3
",
나를위한 사주 타로,사주카페,0.0,"
서울 송파구 백제고분로45길 25 1층
(지번) 송파동 38-3
",
을지로골목대장 송리단길점,퓨전일식,0.0,"
서울 송파구 백제고분로45길 8
(지번) 송파동 49-11
",02-4468-6654
성내식당,한식,0.0,"
서울 송파구 오금로 144
(지번) 송파동 59-10
",
NZ스토리,샌드위치,0.0,"
서울 송파구 석촌호수로 268
(지번) 송파동 32-1
",
옛촌,한식,0.0,"
서울 송파구 백제고분로41길 35-24
(지번) 송파동 9-3
",02-2203-7719
도프앙 dauphin,디저트카페,5.0,"
서울 송파구 오금로18길 5 1층 105호
(지번) 송파동 50-9
",010-3305-5095
오죠,중식,0.0,"
서울 송파구 백제고분로41길 42-20
(지번) 송파동 30-10
",02-417-6678
순,"족발,보쌈",0.0,"
서울 송파구 백제고분로45길 28
(지번) 송파동 55-7
",02-422-7002
미가도시락 잠실점,도시락,0.0,"
서울 송파구 백제고분로45길 23
(지번) 송파동 39-3
",02-2202-9945
크흐,양식,0.0,"
서울 송파구 백제고분로41길 36-6
(지번) 송파동 28-15
",070-8888-4125
행당족발 송파점,"족발,보쌈",0.0,"
서울 송파구 백제고분로41길 45 1층
(지번) 송파동 7-12
",02-420-7733
빠에지노,와인바,5.0,"
서울 송파구 백제고분로41길 30
(지번) 송파동 27-12
",
모멘토컴퍼니,양식,0.0,"
서울 송파구 백제고분로41길 39
(지번) 송파동 9-9
",02-422-8588
스테이,칵테일바,0.0,"
서울 송파구 오금로18길 12 3층
(지번) 송파동 51-8
",
데일리브라운,카페,0.0,"
서울 송파구 오금로 146
(지번) 송파동 59-11
",
케이투수산,회,0.0,"
서울 송파구 석촌호수로 284
(지번) 송파동 31-2
",
한마당족발보쌈,"족발,보쌈",0.0,"
서울 송파구 백제고분로41길 39
(지번) 송파동 9-9
",
에버스톤,카페,0.0,"
서울 송파구 백제고분로 425 1층
(지번) 송파동 48
",
크레블리디,카페,0.0,"
서울 송파구 백제고분로45길 4-21 지하
(지번) 송파동 49-3
",
마르시스,양식,5.0,"
서울 송파구 오금로16길 10-6
(지번) 송파동 57-3
",
홀리데이,카페,0.0,"
서울 송파구 백제고분로 431
(지번) 송파동 48-4
",
더에스프레소룸,카페,0.0,"
서울 송파구 백제고분로41길 27
(지번) 송파동 11-2
",070-4809-6090
볏집향양꼬치,양꼬치,0.0,"
서울 송파구 백제고분로41길 39
(지번) 송파동 9-9
",02-2202-1688
아워레어,양식,0.0,"
서울 송파구 오금로 126
(지번) 송파동 58-4
",
디키친,양식,0.0,"
서울 송파구 백제고분로45길 30
(지번) 송파동 56-2
",070-4465-8278
하우디,커피전문점,0.0,"
서울 송파구 백제고분로45길 30
(지번) 송파동 56-2
",
메밀서리,한식,0.0,"
서울 송파구 백제고분로41길 43-21
(지번) 송파1동 8
",
보이인더케이브,카페,0.0,"
서울 송파구 백제고분로45길 22 지하1층
(지번) 송파동 53-9
",
국민바베큐,술집,0.0,"
서울 송파구 송파대로 456 1층
(지번) 송파동 15-4
",
스타라인,카페,0.0,"
서울 송파구 석촌호수로 298
(지번) 송파동 58-1
",02-461-5559
하우스오브브라운,술집,0.0,"
서울 송파구 오금로16길 10-6 지하1층
(지번) 송파동 57-3
",
신호미닭발,닭요리,0.0,"
서울 송파구 송파대로 458
(지번) 송파1동 15-3
",
우무드,카페,0.0,"
서울 송파구 오금로 126
(지번) 송파동 58-4
",
도티 방이동점,카페,0.0,"
서울 송파구 오금로 146
(지번) 송파동 59-11
",02-408-3625
ESPRITCOFFEE 송파점,카페,0.0,"
서울 송파구 석촌호수로 298
(지번) 송파동 58-1
",02-420-9114
호반,분식,0.0,"
서울 송파구 백제고분로45길 38
(지번) 송파동 57
",
하우모찌,카페,5.0,"
서울 송파구 오금로18길 12
(지번) 송파동 51-8
",02-424-8141
락 로즈,한식,0.0,"
서울 송파구 석촌호수로 290
(지번) 송파동 58-18
",
셔터,술집,0.0,"
서울 송파구 백제고분로45길 22-1
(지번) 송파동 54-13
",
todayrice,한식,0.0,"
서울 송파구 백제고분로41길 42-11
(지번) 송파동 32-3
",
왕갈비,한식,0.0,"
서울 송파구 백제고분로41길 30
(지번) 송파동 27-12
",02-416-9487
토종한우촌,"육류,고기",0.0,"
서울 송파구 백제고분로41길 30
(지번) 송파동 27-12
",
CorkSeoul,술집,0.0,"
서울 송파구 백제고분로45길 22
(지번) 송파동 53-9
",
올드퍼피,양식,0.0,"
서울 송파구 백제고분로45길 40
(지번) 송파동 58-15
",02-5236-9554
오레노라멘 송파점,일본식라면,4.4,"
서울 송파구 백제고분로45길 17-3 1층 102호
(지번) 송파동 42-6
",
Ellie,양식,0.0,"
서울 송파구 백제고분로41길 43-21
(지번) 송파동 8
",02-422-1210
와인시스터즈,와인바,0.0,"
서울 송파구 오금로 136
(지번) 송파동 59-8
",02-422-0616
진지아,중국요리,4.2,"
서울 송파구 백제고분로41길 12-9 1,2층
(지번) 송파동 23-10
",02-418-5354
다운타우너 잠실,햄버거,4.0,"
서울 송파구 백제고분로45길 3 1층
(지번) 송파동 46-4
",070-8868-3696
동경산책 석촌호수점,일식,3.6,"
서울 송파구 백제고분로45길 15 1층
(지번) 송파동 42
",02-421-6066
단디 송리단길본점,일식,3.9,"
서울 송파구 백제고분로45길 7 1층 1호
(지번) 송파동 45-5
",02-412-5335
뷰클런즈,카페,4.1,"
서울 송파구 백제고분로43길 10 1층
(지번) 송파동 45-18
",070-4065-4860
오복수산 잠실점,일식,3.5,"
서울 송파구 백제고분로45길 17-3 1층
(지번) 송파동 42-6
",02-420-9955
노가리슈퍼 송리단길점,"호프,요리주점",,"
서울 송파구 백제고분로45길 5 1층
(지번) 송파동 46
",02-747-1201
팻어케이크,디저트카페,,"
서울 송파구 백제고분로45길 9 2층
(지번) 송파동 45-4
",02-123-1234
피자덕후 피자힙 잠실송리단길점,피자,4.7,"
서울 송파구 백제고분로45길 21-9
(지번) 송파동 40-13
",
골드참치 잠실점,참치회,3.5,"
서울 송파구 오금로 125 유미빌딩 2층
(지번) 방이동 109-11
",02-422-7747
온량,이탈리안,,"
서울 송파구 백제고분로43길 4 은혜빌딩 1층
(지번) 송파동 47
",02-422-3642
카페온화 송파점,카페,2.9,"
서울 송파구 백제고분로45길 15 2층
(지번) 송파동 42
",
내고향횡성 한우정육점식당,"육류,고기",2.8,"
서울 송파구 오금로 113
(지번) 방이동 66-3
",02-415-8080
야끼소바 니주마루,일식,4.1,"
서울 송파구 백제고분로41길 21 1층
(지번) 송파동 13-18
",070-7819-0012
아낙네그루브,"호프,요리주점",3.1,"
서울 송파구 백제고분로45길 15 5층
(지번) 송파동 42
",
노티드 잠실,디저트카페,3.6,"
서울 송파구 백제고분로45길 3 2층 201호
(지번) 송파동 46-4
",070-8836-9377
개나리아구찜 송파본점,한식,4.2,"
서울 송파구 오금로15길 7-8 1층
(지번) 방이동 68-5
",02-423-0060
베이커온도,"제과,베이커리",4.3,"
서울 송파구 백제고분로45길 17 103호
(지번) 송파동 42-1
",070-4151-4986
모터시티바이매니멀 잠실점,양식,3.7,"
서울 송파구 백제고분로45길 17-3 2층
(지번) 송파동 42-6
",02-424-2323
중화일상,중국요리,4.1,"
서울 송파구 백제고분로 401 골재회관 1층
(지번) 송파동 20-6
",02-422-5566
오마카세 오사이초밥 잠실송리단길점,"초밥,롤",3.8,"
서울 송파구 백제고분로45길 17-3 3층
(지번) 송파동 42
",02-423-5422
아도겐 송파점,일본식주점,2.3,"
서울 송파구 백제고분로45길 21 1층
(지번) 송파동 40
",02-425-0106
프레스커피,커피전문점,3.2,"
서울 송파구 백제고분로45길 17-3 4층
(지번) 송파동 42-6
",
르빵 송파본점,"제과,베이커리",2.8,"
서울 송파구 백제고분로41길 12 101호
(지번) 송파동 22
",02-420-7004
커피렉 송파점,카페,4.0,"
서울 송파구 백제고분로45길 19 1층
(지번) 송파동 40-4
",02-415-3254
청기와타운 잠실점,한식,3.0,"
서울 송파구 오금로 125 1층
(지번) 방이동 109-11
",02-420-8008
호낙가,"육류,고기",4.4,"
서울 송파구 백제고분로45길 17-14 1,2층
(지번) 송파동 40-11
",02-422-4011
도키도키키친,일본식주점,3.8,"
서울 송파구 백제고분로41길 18 1층
(지번) 송파동 24-7
",02-2203-3369
을밀대 잠실점,국수,3.6,"
서울 송파구 오금로15길 7-13
(지번) 방이동 67-5
",02-3432-5233
본가진미간장게장,"게,대게",3.7,"
서울 송파구 백제고분로 420 1층
(지번) 송파동 134-1
",02-422-5081
라뿔,디저트카페,4.6,"
서울 송파구 백제고분로43길 7 1층
(지번) 송파동 20-11
",02-423-3502
저스트텐동 송리단길점,일식,3.2,"
서울 송파구 백제고분로45길 15 1층
(지번) 송파동 42
",
일월고기,"육류,고기",3.5,"
서울 송파구 오금로15길 7-16 2층
(지번) 방이동 68-10
",02-415-7546
진대감 방이점,"육류,고기",3.8,"
서울 송파구 오금로13길 6 1층
(지번) 방이동 67
",02-416-2472
킴스델리마켓,"제과,베이커리",3.4,"
서울 송파구 백제고분로45길 13 101호
(지번) 송파동 43
",
화반 방이점,삼겹살,4.3,"
서울 송파구 오금로13길 8 1층
(지번) 방이동 67-7
",02-418-9292
항방양육관 방이점,양꼬치,4.4,"
서울 송파구 오금로15길 2 1층
(지번) 방이동 109
",02-418-9988
성민양꼬치 잠실점,양꼬치,4.4,"
서울 송파구 오금로15길 7-1
(지번) 방이동 68-6
",02-425-1827
놀부유황오리진흙구이 잠실점,오리,3.5,"
서울 송파구 오금로 131 1,2층
(지번) 방이동 109-10
",02-425-5292
돈부리파스타 송리단길점,양식,3.3,"
서울 송파구 백제고분로45길 17 지하 1층
(지번) 송파동 42-1
",02-6952-5151
수다감자탕,감자탕,,"
서울 송파구 백제고분로41길 16 1층 103호
(지번) 송파동 23
",02-424-4226
배키욘방,일식,,"
서울 송파구 올림픽로32길 22-23 평원빌딩 1층 102호
(지번) 방이동 62-3
",02-418-7773
오모리찌개 잠실본점,"찌개,전골",2.5,"
서울 송파구 송파대로 471 2층
(지번) 석촌동 183-3
",02-2203-0067
디프,양식,5.0,"
서울 송파구 백제고분로45길 15 3층
(지번) 송파동 42
",
컴오프,카페,3.6,"
서울 송파구 백제고분로45길 21-7
(지번) 송파동 40-12
",
이랑칼국수,칼국수,3.7,"
서울 송파구 백제고분로41길 6
(지번) 송파동 21-6
",02-416-0603
청화초밥,"초밥,롤",4.0,"
서울 송파구 오금로13길 14 1층
(지번) 방이동 69-9
",02-420-3686
화사랑화로구이,"육류,고기",2.7,"
서울 송파구 오금로 162
(지번) 송파동 135-6
",02-421-4554
완도산회 송파직영점,회,3.0,"
서울 송파구 백제고분로41길 10 1층
(지번) 송파동 22-2
",02-422-5989
유우링,카페,,"
서울 송파구 백제고분로43길 4 지하1층
(지번) 송파동 47
",02-413-3218
일미양다리꼬치,양꼬치,4.5,"
서울 송파구 오금로15길 10 1층
(지번) 방이동 71-2
",02-6120-6788
육화식당,삼겹살,4.5,"
서울 송파구 올림픽로32길 29 1,2층
(지번) 방이동 70
",02-424-6882
오잘전맥집,"호프,요리주점",4.0,"
서울 송파구 백제고분로41길 17 부림빌딩 1층
(지번) 송파동 14-18
",02-6402-1966
토나리우동,"돈까스,우동",3.4,"
서울 송파구 백제고분로45길 11
(지번) 송파동 43-1
",
방이돈가,"육류,고기",4.2,"
서울 송파구 오금로15길 4 1층
(지번) 방이동 71-14
",02-415-7220
참설농탕 송파직영점,설렁탕,2.3,"
서울 송파구 백제고분로 430
(지번) 송파동 135-1
",02-2203-8824
호이안로스터리 송리단길점,카페,4.3,"
서울 송파구 백제고분로45길 3-18
(지번) 송파동 46-13
",02-422-8929
스웨덴피크닉 송리단길점,와인바,4.5,"
서울 송파구 백제고분로43길 10 지하1층
(지번) 송파동 45-18
",070-8286-4119
오늘와인한잔 석촌역점,와인바,3.9,"
서울 송파구 백제고분로41길 13
(지번) 송파동 16-6
",02-422-7631
피치그레이,카페,4.4,"
서울 송파구 백제고분로41길 24 2층
(지번) 송파동 25
",
부산순곱이네 방이점,"곱창,막창",3.6,"
서울 송파구 오금로15길 16 1층
(지번) 방이동 71
",02-424-3024
해담,일식,4.3,"
서울 송파구 오금로15길 5-12
(지번) 방이동 67-2
",02-421-5800
디온웨이,카페,,"
서울 송파구 백제고분로41길 18 2층
(지번) 송파동 24-7
",02-419-0407
크래버대게나라 잠실점,"게,대게",3.8,"
서울 송파구 오금로 165 웰빙빌딩 1층
(지번) 방이동 110-13
",02-412-2338
르브리에,카페,4.8,"
서울 송파구 백제고분로43길 8 1층
(지번) 송파동 46-19
",010-9702-2115
송리단양조장,한식,4.0,"
서울 송파구 백제고분로45길 11 렉스프라자 2층
(지번) 송파동 43-1
",070-8650-5211
잭커리버거클럽,패스트푸드,5.0,"
서울 송파구 백제고분로45길 21-9
(지번) 송파동 40
",
소담정,"육류,고기",4.0,"
서울 송파구 올림픽로32길 22-22
(지번) 방이동 63-4
",02-420-0099
송계옥 본점,닭요리,,"
서울 송파구 올림픽로32길 38 1층 103, 104호
(지번) 방이동 93-14
",070-7767-2323
어부횟집,일식,3.6,"
서울 송파구 오금로15길 7
(지번) 방이동 67-10
",02-420-9704
컴포즈커피 송파석촌점,커피전문점,4.4,"
서울 송파구 백제고분로41길 18 1층
(지번) 송파동 24-7
",
이성원쉐프의청년감자탕순대국 방이동 본점,감자탕,3.8,"
서울 송파구 오금로19길 5 1층
(지번) 방이동 110-12
",02-3431-9252
타로데이트,테마카페,2.4,"
서울 송파구 오금로15길 6 2층
(지번) 방이동 71-13
",010-9917-8484
본디,삼겹살,4.7,"
서울 송파구 백제고분로41길 18 1층
(지번) 송파동 24-7
",02-6080-3636
슈타인도르프,"호프,요리주점",4.1,"
서울 송파구 오금로15길 11
(지번) 방이동 69-1
",02-422-9000
쥰쇼쿠도,일식,4.4,"
서울 송파구 백제고분로43길 8
(지번) 송파동 46-19
",
옛촌매운갈비찜,갈비,3.9,"
서울 송파구 백제고분로41길 10
(지번) 송파동 22-2
",02-417-6689
제줏간 방이점,"육류,고기",3.0,"
서울 송파구 오금로15길 5-24 1층
(지번) 방이동 67-1
",02-419-2202
송돝,삼겹살,4.3,"
서울 송파구 오금로15길 8 1층
(지번) 방이동 71-3
",02-422-9841
숙달돼지 잠실방이점,삼겹살,3.9,"
서울 송파구 오금로13길 10-1 1층
(지번) 방이동 68-3
",02-424-6603
바이춘천,닭요리,3.1,"
서울 송파구 백제고분로41길 13 102호
(지번) 송파동 16-6
",02-423-1300
바다회풍경,회,3.0,"
서울 송파구 오금로15길 8
(지번) 방이동 71-3
",02-416-5060
놀잇터,"호프,요리주점",4.4,"
서울 송파구 백제고분로41길 19-1 1층
(지번) 송파동 13-4
",02-418-0477
테이크어샤워,디저트카페,3.3,"
서울 송파구 송파대로47길 1 동보빌딩 1층
(지번) 석촌동 181-1
",070-4307-0910
우지커피 석촌역점,카페,4.0,"
서울 송파구 백제고분로41길 11 은혜빌딩 1층
(지번) 송파동 17-3
",
버거킹 석촌점,패스트푸드,2.3,"
서울 송파구 송파대로 448
(지번) 송파동 15-8
",02-424-6313
육감만족,한정식,2.6,"
서울 송파구 백제고분로41길 19
(지번) 송파동 14-3
",02-417-9212
오대양참치,참치회,4.8,"
서울 송파구 오금로15길 6 1층
(지번) 방이동 71-13
",02-424-2727
사운드온,술집,5.0,"
서울 송파구 백제고분로41길 19-1 1층
(지번) 송파동 13-4
",
칠프로 칠백식당 방이직영점,"육류,고기",4.9,"
서울 송파구 올림픽로32길 42 1층
(지번) 방이동 93-6
",02-417-7004
유목카츠,"돈까스,우동",2.8,"
서울 송파구 백제고분로45길 7 1층 102,103호
(지번) 송파동 45-5
",02-3432-8886
참치연가,참치회,4.5,"
서울 송파구 백제고분로41길 11 1층
(지번) 송파동 17-3
",02-420-1422
거상 명인갈비,갈비,3.0,"
서울 송파구 오금로 113
(지번) 방이동 66-3
",
맛닭꼬 석촌역점,치킨,1.9,"
서울 송파구 백제고분로41길 20
(지번) 송파동 24
",02-421-2292
코지블루,카페,4.9,"
서울 송파구 백제고분로45길 7 302호
(지번) 송파동 45-5
",010-3493-4766
꿉당 잠실방이점,"육류,고기",3.2,"
서울 송파구 오금로15길 9 1층
(지번) 방이동 68-8
",
오땅비어 석촌역점,"호프,요리주점",4.5,"
서울 송파구 백제고분로41길 15
(지번) 송파동 16-1
",
천하장사풍천장어,장어,3.0,"
서울 송파구 오금로 113 2층
(지번) 방이동 66-3
",
모아레,카페,4.8,"
서울 송파구 백제고분로41길 6-5 연빌딩 2층
(지번) 송파동 21-5
",0507-1355-3703
신나라떡볶이 본점,떡볶이,3.0,"
서울 송파구 백제고분로41길 16
(지번) 송파동 23
",02-420-0105
자시정,한식,4.4,"
서울 송파구 백제고분로41길 16 1층 101호
(지번) 송파동 23
",010-9834-7531
삿포로참치 직영본점,참치회,2.3,"
서울 송파구 올림픽로32길 32
(지번) 방이동 69-4
",02-416-1479
수미양가,"육류,고기",4.6,"
서울 송파구 백제고분로43길 8 1층
(지번) 송파동 46-19
",02-6956-0092
메가MGC커피 석촌점,커피전문점,,"
서울 송파구 백제고분로41길 6 1층
(지번) 송파동 21-6
",02-420-7911
청년고기장수 방이점,"육류,고기",,"
서울 송파구 오금로15길 7 2층
(지번) 방이동 67-10
",02-415-8090
서두산딤섬만두 2호점,중식,3.8,"
서울 송파구 올림픽로32길 18-23 2층
(지번) 방이동 63
",02-422-4588
연안부두 2호점,회,3.9,"
서울 송파구 오금로13길 11 1층
(지번) 방이동 62-5
",02-419-9897
스시선 방이점,"초밥,롤",4.6,"
서울 송파구 올림픽로32길 37
(지번) 방이동 98-7
",02-413-2585
바니유,디저트카페,3.1,"
서울 송파구 백제고분로45길 21 2층
(지번) 송파동 40
",
별미곱창 본점,"곱창,막창",3.4,"
서울 송파구 오금로11길 14 1층
(지번) 방이동 64-1
",02-413-3610
오로라덮밥,일식,2.6,"
서울 송파구 백제고분로45길 15
(지번) 송파동 42
",
함평육회 본점,"육류,고기",3.9,"
서울 송파구 올림픽로32길 22-19 1층
(지번) 방이동 62-2
",02-423-3336
맥도날드 석촌역점,패스트푸드,2.3,"
서울 송파구 백제고분로 390
(지번) 송파동 84
",02-6415-6200
룰루베이글,"제과,베이커리",4.5,"
서울 송파구 오금로17길 6 1층
(지번) 방이동 105-7
",
모어댄버터,카페,3.4,"
서울 송파구 송파대로 467 지하1, 1층
(지번) 석촌동 184-1
",0507-1495-8246
포대인대구막창 잠실점,"곱창,막창",4.3,"
서울 송파구 백제고분로41길 7
(지번) 송파동 18-18
",02-419-1551
빅토리아레이블,카페,3.2,"
서울 송파구 오금로 105 덕림빌딩 1층
(지번) 방이동 66
",010-9500-2034
더장어,장어,5.0,"
서울 송파구 오금로 113 2층
(지번) 방이동 66-3
",
소포모어,와인바,5.0,"
서울 송파구 백제고분로41길 21 2층
(지번) 송파동 13-18
",
밀회관 방이점,"호프,요리주점",4.0,"
서울 송파구 올림픽로32길 29 1층
(지번) 방이동 70
",02-2202-0120
아스케키,일본식주점,4.0,"
서울 송파구 백제고분로45길 15 1층
(지번) 송파동 42
",
삼백집 잠실직영점,국밥,2.9,"
서울 송파구 석촌호수로 240
(지번) 석촌동 183-9
",02-418-0301
그릭데이 잠실점,디저트카페,4.1,"
서울 송파구 백제고분로 423 1층
(지번) 송파동 47-4
",02-422-5787
대박쌈,"족발,보쌈",4.2,"
서울 송파구 오금로13길 13
(지번) 방이동 62-6
",02-422-5594
방이옥 본점,"육류,고기",4.4,"
서울 송파구 올림픽로32길 28 1층
(지번) 방이동 62-9
",02-423-6592
이화초밥,"초밥,롤",4.4,"
서울 송파구 백제고분로41길 15
(지번) 송파동 16
",02-420-6415
창고43 잠실점,"육류,고기",3.7,"
서울 송파구 송파대로 473 양지473 2층 201호
(지번) 석촌동 183-2
",02-425-4003
마늘치킨함스함스 송파점,치킨,3.2,"
서울 송파구 백제고분로41길 12
(지번) 송파1동 22
",02-415-3951
송파생태전문 송파점,"해물,생선",4.3,"
서울 송파구 오금로15길 14
(지번) 방이동 71-1
",02-414-6068
스시유메,"초밥,롤",4.3,"
서울 송파구 올림픽로32길 49
(지번) 방이동 102-2
",02-422-1432
복면옥 잠실점,냉면,4.6,"
서울 송파구 송파대로 471 2층
(지번) 석촌동 183-3
",0507-1353-4970
오스테리아세콘디,이탈리안,4.0,"
서울 송파구 백제고분로42길 4-9 1층 102호
(지번) 송파동 85-13
",0507-1330-4244
가타커피,카페,4.7,"
서울 송파구 백제고분로45길 5-18 1층 101호
(지번) 송파동 45-11
",070-5096-3351
빽돈 방이점,"육류,고기",4.0,"
서울 송파구 올림픽로32길 29 유성빌딩 1층
(지번) 방이동 70
",02-421-7779
소류,일본식주점,3.6,"
서울 송파구 오금로17길 5 1층 101호
(지번) 방이동 104-13
",02-415-3777
수작나베 석촌호수직영점,퓨전일식,4.3,"
서울 송파구 석촌호수로 234 라품미빌딩 1층
(지번) 석촌동 158-7
",02-423-3767
제주옥탑 서울방이점,"육류,고기",3.3,"
서울 송파구 오금로15길 7-1 2층
(지번) 방이동 68-6
",
제일곱창,"곱창,막창",4.1,"
서울 송파구 올림픽로32길 22-13 동도빌딩 1층
(지번) 방이동 62-12
",010-7374-1532
코코로,일본식주점,4.5,"
서울 송파구 올림픽로32길 41
(지번) 방이동 99-21
",02-416-0518
돼지명가,"육류,고기",4.5,"
서울 송파구 오금로15길 10 1층 101호
(지번) 방이동 71-2
",02-6285-9595
방이순대국,순대,5.0,"
서울 송파구 오금로15길 5-8 태훈빌딩 1층 103호
(지번) 방이동 67-3
",02-424-8989
이자카야오모,일본식주점,3.5,"
서울 송파구 올림픽로32길 52 2층
(지번) 방이동 104
",
